,age,are_you_datascientist,company_size,country_live,employment_status,first_learn_about_main_ide,how_often_use_main_ide,ide_main,is_python_main,job_team,main_purposes,missing_features_main_ide,nps_main_ide,python_years,python3_version_most,several_projects,team_size,use_python_most,years_of_coding,python3_ver
27727,30,False,11,Colombia,Fully employed by a company / organization,Friend / Colleague,Daily,VS Code,Yes,Work on your own project(s) independently,Both for work and personal,Yes – Please list:,8.0,3.0,Python 3_7,"Yes, I work on one main and several side projects",3,Educational purposes,3.0,3.7
27728,40,False,51,Japan,Fully employed by a company / organization,School / University,Daily,Vim,Yes,Work on your own project(s) independently,Both for work and personal,Yes – Please list:,9.0,11.0,Python 3_9,"Yes, I work on many different projects",5,Web development,11.0,3.9
27731,21,False,1001,United States,Fully employed by a company / organization,Friend / Colleague,Daily,VS Code,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,3.0,Python 3_9,"Yes, I work on many different projects",2,Software prototyping,6.0,3.9
27732,21,False,5000,Australia,Fully employed by a company / organization,Search engines,Daily,PyCharm Professional Edition,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",10.0,6.0,Python 3_8,"Yes, I work on many different projects",4,Network programming,6.0,3.8
27735,40,True,1,Brazil,"Self-employed (a person earning income directly from one's own business, trade, or profession)",Other,Daily,PyCharm Community Edition,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",10.0,6.0,Python 3_8,"Yes, I work on one main and several side projects",1,Web development,6.0,3.8
27738,21,False,51,France,Fully employed by a company / organization,Friend / Colleague,Daily,Vim,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",8.0,3.0,Python 3_6,"Yes, I work on one main and several side projects",2,DevOps / System administration / Writing automation scripts,3.0,3.6
27740,21,False,5000,United States,Fully employed by a company / organization,Friend / Colleague,Daily,VS Code,"No, I use Python as a secondary language",Work in a team,"For personal, educational  or side projects",Yes – Please list:,10.0,3.0,Python 3_6,"Yes, I work on many different projects",13,Web development,1.0,3.6
27744,30,False,5000,United States,Fully employed by a company / organization,Friend / Colleague,Daily,Vim,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",8.0,11.0,Python 3_6,"Yes, I work on many different projects",2,Other,11.0,3.6
27746,21,False,51,Japan,Fully employed by a company / organization, Online learning platform / Online course,Daily,VS Code,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",10.0,3.0,Python 3_6,"Yes, I work on many different projects",3,Unknown,1.0,3.6
27747,21,False,11,China,Fully employed by a company / organization,I don't remember,Daily,PyCharm Professional Edition,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",10.0,3.0,Python 3_6,"Yes, I work on many different projects",3,Web development,1.0,3.6
27749,30,False,11,United States,Fully employed by a company / organization,Other,Daily,PyCharm Community Edition,Yes,Work in a team,Both for work and personal,Yes – Please list:,10.0,6.0,Python 3_6,"Yes, I work on many different projects",2,Network programming,11.0,3.6
27750,30,False,11,Philippines,Fully employed by a company / organization,Technical review / Forum / Blog,Daily,Sublime Text,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",7.0,11.0,Python 3_8,"Yes, I work on many different projects",2,Web development,11.0,3.8
27756,40,False,11,Germany,Partially employed by a company / organization,Search engines,Daily,VS Code,Yes,Work on your own project(s) independently,"For personal, educational  or side projects","No, it has all the features I need",0.0,6.0,Python 3_7,"Yes, I work on one main and several side projects",5,Educational purposes,1.0,3.7
27760,30,False,51,United States,Fully employed by a company / organization,Technical review / Forum / Blog,Daily,Atom,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,6.0,Python 3_7,"Yes, I work on many different projects",21,DevOps / System administration / Writing automation scripts,11.0,3.7
27762,30,False,51,United States,Fully employed by a company / organization,Friend / Colleague,Daily,PyCharm Professional Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",9.0,6.0,Python 3_7,"Yes, I work on one main and several side projects",2,Web development,11.0,3.7
27772,30,False,11,Canada,Fully employed by a company / organization,I don't remember,Weekly,VS Code,"No, I use Python as a secondary language",Work in a team,"For personal, educational  or side projects","No, it has all the features I need",7.0,3.0,Python 3_7,"Yes, I work on one main and several side projects",2,Software prototyping,11.0,3.7
27773,21,False,2,Morocco,"Self-employed (a person earning income directly from one's own business, trade, or profession)",I don't remember,Daily,VS Code,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",8.0,6.0,Python 3_8,"Yes, I work on many different projects",2,Web development,3.0,3.8
27777,40,False,11,Australia,Fully employed by a company / organization,Friend / Colleague,Monthly,PyCharm Professional Edition,Yes,Work in a team,Both for work and personal,Yes – Please list:,10.0,11.0,Python 3_7,"Yes, I work on many different projects",21,DevOps / System administration / Writing automation scripts,11.0,3.7
27779,40,True,51,United States,Fully employed by a company / organization,School / University,Daily,Atom,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",10.0,6.0,Python 3_7,"Yes, I work on many different projects",4,Educational purposes,6.0,3.7
27788,30,True,501,Chile,Fully employed by a company / organization, Online learning platform / Online course,Daily,Jupyter Notebook,Yes,Work on your own project(s) independently,For work,"No, it has all the features I need",10.0,3.0,Python 3_7,"Yes, I work on one main and several side projects",3,Data analysis,3.0,3.7
27790,21,False,51,China,Fully employed by a company / organization,I don't remember,Daily,PyCharm Professional Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,3.0,Python 3_7,"Yes, I work on many different projects",2,Web development,3.0,3.7
27792,30,True,51,China,Fully employed by a company / organization, Online learning platform / Online course,Daily,JupyterLab,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",8.0,6.0,Python 3_9,"Yes, I work on many different projects",8,Data analysis,6.0,3.9
27793,30,False,11,Israel,Fully employed by a company / organization,Friend / Colleague,Daily,Vim,"No, I use Python as a secondary language",Work on your own project(s) independently,Both for work and personal,Yes – Please list:,5.0,11.0,Python 3_8,"Yes, I work on one main and several side projects",3,Data analysis,11.0,3.8
27797,30,False,1001,New Zealand,Fully employed by a company / organization,I don't remember,Daily,PyCharm Professional Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,11.0,Python 3_7,"Yes, I work on many different projects",2,Computer graphics,11.0,3.7
27801,30,False,5000,Canada,Fully employed by a company / organization,I don't remember,Daily,PyCharm Community Edition,Yes,Work in a team,Both for work and personal,Yes – Please list:,9.0,6.0,Python 3_8,"Yes, I work on many different projects",2,Other,3.0,3.8
27806,30,True,5000,United States,Fully employed by a company / organization,Friend / Colleague,Daily,VS Code,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,3.0,Python 3_8,"Yes, I work on many different projects",2,Machine learning,3.0,3.8
27814,21,False,5000,United States,Fully employed by a company / organization,Friend / Colleague,Daily,VS Code,Yes,Work in a team,For work,"No, it has all the features I need",7.0,1.0,Python 3_7,"No,  I only work on one project",8,DevOps / System administration / Writing automation scripts,1.0,3.7
27815,21,False,11,Colombia,Fully employed by a company / organization,Friend / Colleague,Daily,VS Code,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,3.0,Python 3_8,"Yes, I work on one main and several side projects",2,Web development,1.0,3.8
27821,30,False,2,Chile,Fully employed by a company / organization,School / University,Daily,VS Code,Yes,Work on your own project(s) independently,For work,"No, it has all the features I need",10.0,6.0,Python 3_7,"Yes, I work on one main and several side projects",2,Web development,6.0,3.7
27827,21,False,51,United States,Fully employed by a company / organization,Search engines,Daily,Other,Yes,Work in a team,Both for work and personal,Yes – Please list:,8.0,3.0,Python 3_8,"Yes, I work on many different projects",2,Web development,3.0,3.8
27828,21,False,5000,India,Partially employed by a company / organization,School / University,Weekly,IDLE,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",10.0,3.0,Python 3_9,"No,  I only work on one project",10,Educational purposes,6.0,3.9
27831,21,False,51,China,Fully employed by a company / organization,Advertising,Daily,PyCharm Community Edition,Yes,Work in a team,Both for work and personal,Yes – Please list:,10.0,3.0,Python 3_8,"Yes, I work on one main and several side projects",8,DevOps / System administration / Writing automation scripts,3.0,3.8
27833,30,False,5000,China,Fully employed by a company / organization,Social network,Monthly,PyCharm Professional Edition,Yes,Work in a team,For work,"No, it has all the features I need",9.0,3.0,Python 3_7,"Yes, I work on one main and several side projects",2,Web development,3.0,3.7
27840,21,False,51,Indonesia,Fully employed by a company / organization,Technical review / Forum / Blog,Daily,VS Code,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",8.0,1.0,Python 3_8,"Yes, I work on one main and several side projects",13,DevOps / System administration / Writing automation scripts,3.0,3.8
27842,30,False,1001,Australia,Fully employed by a company / organization,I don't remember,Daily,PyCharm Community Edition,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",10.0,3.0,Python 3_7,"Yes, I work on one main and several side projects",4,Software prototyping,3.0,3.7
27845,50,False,1,United States,"Self-employed (a person earning income directly from one's own business, trade, or profession)",School / University,Daily,Vim,Yes,Work as an external consultant or trainer,For work,"No, it has all the features I need",8.0,11.0,Python 3_8,"Yes, I work on many different projects",1,Data analysis,11.0,3.8
27846,40,True,51,Brazil,Fully employed by a company / organization,Technical review / Forum / Blog,Daily,Emacs,Yes,Work on your own project(s) independently,"For personal, educational  or side projects","No, it has all the features I need",9.0,3.0,Python 3_7,"Yes, I work on one main and several side projects",3,Data analysis,1.0,3.7
27847,21,False,11,Australia,Fully employed by a company / organization,I don't remember,Weekly,PyCharm Professional Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",8.0,6.0,Python 3_7,"Yes, I work on many different projects",2,Web development,6.0,3.7
27850,21,True,51,China,Fully employed by a company / organization,School / University,Daily,VS Code,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,3.0,Python 3_7,"Yes, I work on many different projects",2,Machine learning,3.0,3.7
27854,30,Other,5000,Australia,Fully employed by a company / organization,Friend / Colleague,Weekly,PyCharm Community Edition,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",10.0,6.0,Python 3_6,"Yes, I work on many different projects",5,Data analysis,11.0,3.6
27874,30,True,51,United States,Fully employed by a company / organization,School / University,Daily,JupyterLab,Yes,Work on your own project(s) independently,Both for work and personal,Yes – Please list:,9.0,6.0,Python 3_8,"Yes, I work on many different projects",3,Data analysis,3.0,3.8
27875,21,True,11,Bangladesh,Fully employed by a company / organization,Conference / User Group,Daily,Jupyter Notebook,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",9.0,3.0,Python 3_7,"Yes, I work on one main and several side projects",2,Machine learning,1.0,3.7
27878,30,False,501,United States,Fully employed by a company / organization,I don't remember,Daily,VS Code,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",7.0,6.0,Python 3_7,"Yes, I work on many different projects",2,Other,6.0,3.7
27880,21,True,51,China,Fully employed by a company / organization,Technical review / Forum / Blog,Daily,VS Code,Yes,Work as an external consultant or trainer,Both for work and personal,"No, it has all the features I need",10.0,3.0,Python 3_7,"Yes, I work on many different projects",5,Data analysis,3.0,3.7
27886,21,False,11,Colombia,Fully employed by a company / organization,Friend / Colleague,Daily,VS Code,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",9.0,3.0,Python 3_8,"Yes, I work on many different projects",8,Web development,3.0,3.8
27889,30,False,5000,Netherlands,Fully employed by a company / organization,Friend / Colleague,Daily,VS Code,Yes,Work in a team,For work,"No, it has all the features I need",10.0,11.0,Python 3_8,"Yes, I work on many different projects",2,DevOps / System administration / Writing automation scripts,11.0,3.8
27897,40,False,5000,Canada,Fully employed by a company / organization,Technical review / Forum / Blog,Daily,PyCharm Professional Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,3.0,Python 3_6,"Yes, I work on one main and several side projects",13,Software testing / Writing automated tests,11.0,3.6
27900,30,False,11,Argentina,Fully employed by a company / organization,Friend / Colleague,Daily,VS Code,Yes,Work in a team,Both for work and personal,Yes – Please list:,8.0,6.0,Python 3_7,"Yes, I work on one main and several side projects",2,Other,3.0,3.7
27913,21,False,51,China,Fully employed by a company / organization,Technical review / Forum / Blog,Daily,Jupyter Notebook,Yes,Work in a team,For work,"No, it has all the features I need",9.0,3.0,Python 3_6,"Yes, I work on one main and several side projects",8,Web development,3.0,3.6
27914,21,True,501,India,Fully employed by a company / organization,Advertising,Daily,PyCharm Professional Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,6.0,Python 3_9,"Yes, I work on many different projects",2,Software prototyping,3.0,3.9
27916,40,False,5000,United States,Fully employed by a company / organization,Technical review / Forum / Blog,Daily,VS Code,Yes,Work in a team,For work,"No, it has all the features I need",10.0,6.0,Python 3_6,"Yes, I work on many different projects",2,Web development,11.0,3.6
27926,21,False,5000,Brazil,Working student,I don't remember,Daily,Vim,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",8.0,6.0,Python 3_8,"Yes, I work on many different projects",3,DevOps / System administration / Writing automation scripts,1.0,3.8
27936,30,False,2,Kenya,Fully employed by a company / organization,I don't remember,Daily,Atom,Yes,Work in a team,For work,"No, it has all the features I need",8.0,11.0,Python 3_7,"Yes, I work on many different projects",2,Web development,11.0,3.7
27938,30,False,11,China,Fully employed by a company / organization,Friend / Colleague,Daily,PyCharm Community Edition,"No, I use Python as a secondary language",Work in a team,Both for work and personal,Yes – Please list:,10.0,3.0,Python 3_8,"Yes, I work on one main and several side projects",2,Software prototyping,11.0,3.8
27940,30,False,51,Russian Federation,Fully employed by a company / organization, Online learning platform / Online course,Daily,PyCharm Community Edition,"No, I use Python as a secondary language",Work on your own project(s) independently,"For personal, educational  or side projects","No, it has all the features I need",9.0,1.0,Python 3_7,"Yes, I work on one main and several side projects",4,Machine learning,1.0,3.7
27945,18,True,5000,United Kingdom,Fully employed by a company / organization,Friend / Colleague,Weekly,VS Code,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",8.0,3.0,Python 3_9,"Yes, I work on one main and several side projects",8,Data analysis,6.0,3.9
27948,21,False,11,United States,Fully employed by a company / organization,Friend / Colleague,Weekly,PyCharm Community Edition,Yes,Work on your own project(s) independently,"For personal, educational  or side projects","No, it has all the features I need",10.0,1.0,Python 3_8,"Yes, I work on many different projects",3,Software prototyping,3.0,3.8
27953,30,False,51,South Korea,Fully employed by a company / organization,Friend / Colleague,Daily,PyCharm Professional Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,1.0,Python 3_8,"Yes, I work on many different projects",2,Web development,3.0,3.8
27956,30,False,501,Sweden,Fully employed by a company / organization,Social network,Daily,VS Code,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",9.0,6.0,Python 3_6,"Yes, I work on one main and several side projects",4,Programming of web parsers / scrapers / crawlers,3.0,3.6
27960,21,True,1,United States,"Self-employed (a person earning income directly from one's own business, trade, or profession)",School / University,Daily,Spyder,Yes,Work on your own project(s) independently,Both for work and personal,Yes – Please list:,10.0,6.0,Python 3_9,"Yes, I work on one main and several side projects",1,Data analysis,3.0,3.9
27963,30,False,5000,United States,Fully employed by a company / organization,School / University,Daily,Vim,"No, I use Python as a secondary language",Work on your own project(s) independently,"For personal, educational  or side projects","No, it has all the features I need",10.0,6.0,Python 3_8,"Yes, I work on many different projects",6,Data analysis,6.0,3.8
27966,40,False,5000,United States,Fully employed by a company / organization,School / University,Daily,Vim,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",8.0,6.0,Python 3_6,"Yes, I work on one main and several side projects",5,Network programming,11.0,3.6
27968,30,True,1,India,"Self-employed (a person earning income directly from one's own business, trade, or profession)",Search engines,Daily,Atom,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",8.0,3.0,Python 3_7,"Yes, I work on many different projects",1,Machine learning,6.0,3.7
27969,30,True,51,United States,Fully employed by a company / organization,Social network,Daily,VS Code,Yes,Work on your own project(s) independently,For work,Yes – Please list:,10.0,3.0,Python 3_7,"Yes, I work on many different projects",3,Data analysis,3.0,3.7
27970,21,False,5000,United States,Fully employed by a company / organization,I don't remember,Daily,PyCharm Community Edition,Yes,Work in a team,For work,"No, it has all the features I need",7.0,3.0,Python 3_7,"Yes, I work on one main and several side projects",2,Software testing / Writing automated tests,3.0,3.7
27974,50,True,1001,France,Fully employed by a company / organization,Friend / Colleague,Daily,PyCharm Community Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",9.0,11.0,Python 3_8,"Yes, I work on many different projects",2,Other,11.0,3.8
27976,21,False,2,United States,Fully employed by a company / organization,Search engines,Daily,PyCharm Professional Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",9.0,6.0,Python 3_8,"Yes, I work on one main and several side projects",2,Data analysis,3.0,3.8
27991,21,False,501,Poland,Fully employed by a company / organization,Search engines,Daily,PyCharm Professional Edition,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",10.0,6.0,Python 3_7,"Yes, I work on many different projects",4,Desktop development,6.0,3.7
28002,40,True,5000,United States,Fully employed by a company / organization,School / University,Weekly,PyCharm Professional Edition,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",9.0,6.0,Python 3_8,"Yes, I work on many different projects",6,Machine learning,11.0,3.8
28003,21,True,51,India,Fully employed by a company / organization, Online learning platform / Online course,Daily,Jupyter Notebook,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",10.0,1.0,Python 3_8,"Yes, I work on many different projects",4,Machine learning,3.0,3.8
28006,30,False,5000,India,Fully employed by a company / organization, Online learning platform / Online course,Weekly,IDLE,Yes,Work in a team,Both for work and personal,Yes – Please list:,5.0,11.0,Python 3_9,"Yes, I work on one main and several side projects",8,Machine learning,6.0,3.9
28007,40,True,2,Mexico,Fully employed by a company / organization,Friend / Colleague,Daily,Atom,Yes,Work in a team,Both for work and personal,Yes – Please list:,6.0,11.0,Python 3_8,"Yes, I work on one main and several side projects",2,Data analysis,6.0,3.8
28011,30,False,11,Japan,Fully employed by a company / organization,Technical review / Forum / Blog,Weekly,VS Code,"No, I use Python as a secondary language",Work on your own project(s) independently,"For personal, educational  or side projects","No, it has all the features I need",7.0,1.0,Python 3_8,"Yes, I work on many different projects",3,Machine learning,3.0,3.8
28015,40,False,2,Switzerland,Fully employed by a company / organization,Search engines,Daily,PyCharm Professional Edition,Yes,Work in a team,For work,"No, it has all the features I need",10.0,6.0,Python 3_7,"Yes, I work on many different projects",2,Web development,11.0,3.7
28016,30,False,51,Germany,Fully employed by a company / organization,Technical review / Forum / Blog,Daily,VS Code,"No, I use Python as a secondary language",Work on your own project(s) independently,For work,Yes – Please list:,5.0,1.0,Python 3_8,"No,  I only work on one project",4,Data analysis,6.0,3.8
28017,30,False,2,United States,Fully employed by a company / organization,I don't remember,Daily,PyCharm Community Edition,"No, I use Python as a secondary language",Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",10.0,1.0,Python 3_7,"Yes, I work on one main and several side projects",2,Data analysis,6.0,3.7
28020,21,False,1,Mexico,"Self-employed (a person earning income directly from one's own business, trade, or profession)", Online learning platform / Online course,Daily,VS Code,Yes,Work on your own project(s) independently,For work,"No, it has all the features I need",9.0,1.0,Python 3_8,"Yes, I work on one main and several side projects",1,Machine learning,3.0,3.8
28021,21,False,51,Ukraine,Fully employed by a company / organization,School / University,Daily,PyCharm Professional Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,6.0,Python 3_7,"Yes, I work on one main and several side projects",2,Web development,6.0,3.7
28022,21,True,11,India,Fully employed by a company / organization, Online learning platform / Online course,Daily,VS Code,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",7.0,3.0,Python 3_7,"Yes, I work on one main and several side projects",2,Machine learning,1.0,3.7
28029,30,False,2,Germany,Fully employed by a company / organization,Friend / Colleague,Daily,PyCharm Professional Edition,Yes,Work in a team,For work,"No, it has all the features I need",8.0,6.0,Python 3_8,"Yes, I work on one main and several side projects",13,Web development,11.0,3.8
28031,30,False,11,Switzerland,Fully employed by a company / organization,Friend / Colleague,Daily,Emacs,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",10.0,6.0,Python 3_8,"Yes, I work on one main and several side projects",3,Data analysis,11.0,3.8
28033,21,False,51,Poland,Working student,Friend / Colleague,Daily,VS Code,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,3.0,Python 3_7,"Yes, I work on many different projects",2,Web development,1.0,3.7
28035,30,False,2,India,Fully employed by a company / organization,Friend / Colleague,Daily,NotePad++,Yes,Work on your own project(s) independently,For work,"No, it has all the features I need",9.0,1.0,Python 3_7,"No,  I only work on one project",2,Machine learning,1.0,3.7
28036,21,True,51,Pakistan,Fully employed by a company / organization,Search engines,Daily,Jupyter Notebook,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",9.0,3.0,Python 3_7,"Yes, I work on one main and several side projects",8,Machine learning,3.0,3.7
28037,21,False,51,China,Fully employed by a company / organization,Social network,Daily,PyCharm Professional Edition,Yes,Work in a team,For work,Yes – Please list:,8.0,1.0,Python 3_6,"No,  I only work on one project",2,Unknown,1.0,3.6
28039,40,False,5000,Romania,Fully employed by a company / organization,Friend / Colleague,Daily,IntelliJ IDEA,"No, I use Python as a secondary language",Work in a team,Both for work and personal,"No, it has all the features I need",10.0,6.0,Python 3_8,"No,  I only work on one project",2,Software prototyping,11.0,3.8
28040,30,False,2,Austria,Fully employed by a company / organization,Social network,Daily,VS Code,Yes,Work in a team,Both for work and personal,Yes – Please list:,6.0,6.0,Python 3_8,"Yes, I work on many different projects",2,Web development,6.0,3.8
28041,21,False,501,India,Fully employed by a company / organization, Online learning platform / Online course,Daily,Sublime Text,Yes,Work on your own project(s) independently,For work,"No, it has all the features I need",7.0,1.0,Python 3_7,"Yes, I work on one main and several side projects",5,DevOps / System administration / Writing automation scripts,3.0,3.7
28046,21,False,5000,United States,Fully employed by a company / organization,Technical review / Forum / Blog,Daily,IntelliJ IDEA,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",5.0,3.0,Python 3_7,"Yes, I work on one main and several side projects",13,Data analysis,6.0,3.7
28048,30,True,5000,United States,Fully employed by a company / organization,Technical review / Forum / Blog,Daily,Vim,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",8.0,3.0,Python 3_8,"Yes, I work on one main and several side projects",4,Data analysis,1.0,3.8
28050,30,False,5000,Romania,Fully employed by a company / organization,Search engines,Daily,VS Code,Yes,Work in a team,For work,"No, it has all the features I need",9.0,3.0,Python 3_7,"Yes, I work on one main and several side projects",2,Other,3.0,3.7
28055,30,False,51,Germany,Fully employed by a company / organization,I don't remember,Daily,IntelliJ IDEA,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,3.0,Python 3_8,"Yes, I work on many different projects",2,Web development,3.0,3.8
28058,21,False,51,India,Fully employed by a company / organization,School / University,Daily,VS Code,Yes,Work in a team,Both for work and personal,Yes – Please list:,9.0,3.0,Python 3_7,"Yes, I work on many different projects",8,Web development,3.0,3.7
28059,21,False,11,China,Fully employed by a company / organization,Search engines,Daily,PyCharm Community Edition,Yes,Work in a team,Both for work and personal,Yes – Please list:,10.0,3.0,Python 3_8,"Yes, I work on many different projects",8,Machine learning,6.0,3.8
28060,21,False,51,China,Fully employed by a company / organization,Friend / Colleague,Daily,PyCharm Community Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,3.0,Python 3_6,"Yes, I work on many different projects",2,Web development,3.0,3.6
28063,30,False,2,Russian Federation,"Self-employed (a person earning income directly from one's own business, trade, or profession)",Social network,Daily,VS Code,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",10.0,1.0,Python 3_7,"Yes, I work on many different projects",2,Web development,3.0,3.7
28064,21,False,5000,Hungary,Fully employed by a company / organization,School / University,Daily,PyCharm Professional Edition,Yes,Work in a team,"For personal, educational  or side projects","No, it has all the features I need",9.0,3.0,Python 3_8,"Yes, I work on one main and several side projects",2,Programming of web parsers / scrapers / crawlers,3.0,3.8
28066,21,True,51,China,Fully employed by a company / organization,Friend / Colleague,Daily,PyCharm Professional Edition,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",8.0,3.0,Python 3_7,"Yes, I work on many different projects",6,Machine learning,3.0,3.7
28071,21,False,51,China,Fully employed by a company / organization, Online learning platform / Online course,Daily,PyCharm Professional Edition,"No, I use Python as a secondary language",Work in a team,"For personal, educational  or side projects","No, it has all the features I need",10.0,1.0,Python 3_8,"No,  I only work on one project",8,DevOps / System administration / Writing automation scripts,3.0,3.8
28078,21,False,11,India,Fully employed by a company / organization,Search engines,Daily,IntelliJ IDEA,Yes,Work in a team,For work,Yes – Please list:,10.0,3.0,Python 3_7,"Yes, I work on one main and several side projects",2,Web development,1.0,3.7
28080,21,False,501,India,Fully employed by a company / organization,Search engines,Daily,VS Code,Yes,Work as an external consultant or trainer,Both for work and personal,Yes – Please list:,7.0,3.0,Python 3_6,"Yes, I work on one main and several side projects",5,Data analysis,1.0,3.6
28083,30,False,2,Netherlands,"Self-employed (a person earning income directly from one's own business, trade, or profession)",Friend / Colleague,Daily,PyCharm Professional Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",8.0,6.0,Python 3_8,"Yes, I work on many different projects",2,Web development,11.0,3.8
28085,30,True,2,Italy,Fully employed by a company / organization,Search engines,Daily,PyCharm Professional Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",8.0,6.0,Python 3_7,"Yes, I work on many different projects",2,Data analysis,3.0,3.7
28087,18,False,2,Ukraine,Fully employed by a company / organization,Technical review / Forum / Blog,Daily,Sublime Text,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",9.0,1.0,Python 3_7,"Yes, I work on one main and several side projects",1,DevOps / System administration / Writing automation scripts,1.0,3.7
28088,21,False,51,China,Fully employed by a company / organization,Social network,Daily,PyCharm Professional Edition,Yes,Work in a team,For work,Yes – Please list:,10.0,1.0,Python 3_7,"Yes, I work on many different projects",2,Web development,1.0,3.7
28089,40,False,51,United States,Fully employed by a company / organization,School / University,Daily,PyCharm Professional Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,6.0,Python 3_8,"Yes, I work on many different projects",2,Web development,6.0,3.8
28098,40,True,2,Poland,"Self-employed (a person earning income directly from one's own business, trade, or profession)",Social network,Daily,VS Code,Yes,Work in a team,Both for work and personal,Yes – Please list:,7.0,11.0,Python 3_8,"Yes, I work on one main and several side projects",2,Web development,6.0,3.8
28104,21,False,51,Belarus,Fully employed by a company / organization,I don't remember,Daily,PyCharm Professional Edition,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",8.0,3.0,Python 3_8,"Yes, I work on many different projects",2,Unknown,1.0,3.8
28105,40,False,11,Italy,Fully employed by a company / organization,Friend / Colleague,Daily,IntelliJ IDEA,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",10.0,6.0,Python 3_8,"Yes, I work on many different projects",3,Web development,11.0,3.8
28106,21,False,11,Other country,Fully employed by a company / organization,Friend / Colleague,Monthly,PyCharm Professional Edition,"No, I use Python as a secondary language",Work in a team,Both for work and personal,Yes – Please list:,4.0,1.0,Python 3_7,"Yes, I work on many different projects",8,Web development,3.0,3.7
28114,30,False,2,Germany,Fully employed by a company / organization,Friend / Colleague,Daily,Sublime Text,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",8.0,11.0,Python 3_8,"Yes, I work on one main and several side projects",2,Web development,6.0,3.8
28116,21,False,51,India,Fully employed by a company / organization,Search engines,Daily,Vim,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",9.0,3.0,Python 3_7,"Yes, I work on one main and several side projects",2,Web development,3.0,3.7
